Compound,mz_rt
4-Hydroxybenzaldehyde,121.0295_2.5075
"2,3-Dihydroxybenzoic acid",153.0193_2.4515
"2,4,6-Tryhydroxybenzaldehyde",153.0193_2.663
"3,4-Dihydroxybenzoic acid",153.0194_1.8489
p-Coumaric acid,163.0401_2.7049
Gallic acid,169.0142_1.3519
"2,4,6-Trihydroxybenzoic acid ",169.0142_1.7657
Caffeic acid,179.035_2.371
Sorbitol,181.0712_0.4609
Ferulic acid,193.0506_2.8685
Pantothenic acid,218.1035_1.8206
Sinapic acid,223.0611_2.8908
Glucose,225.0597_0.3383
Quinic acid,237.0603_0.3036
Phloretin,273.0768_3.8832
Epicatechin,289.0726_2.4271
Ellagic acid,300.9988_2.783
Herbacetin,301.0352_3.4872
Coumaroyl quinic acid,337.0933_2.4634
Sucrose,341.1087_0.7456
3-Caffeoylquinic acid,353.0879_1.9725
5-Caffeoylquinic acid,353.0892_2.2123
Feruloylquinic acid,367.1033_2.2892
Sucrose,387.1142_0.746
Phlorhizin,435.1303_3.1764
Quercitrin,447.0933_3.0163
Scoparin,461.1088_2.8817
Quercetin-3-glucoside,463.0883_2.7919
Quercetin-3-O-glucuronide,477.0672_2.8079
Procyanidin B2,577.1359_2.3083
Procyanidin B1,579.1407_2.0703
Naringin,579.1719_2.9317
Kampferol -3-O-glucosyl(1-2)rhamnoside,593.1511_2.7539
Eriocitrin,595.1683_2.7225
Diosmin,607.1673_3.0343
Rutin,609.146_2.7337
Narcissin,623.1614_2.9427
Procyanidin C1,865.1987_2.4632
