row ID,row m/z,row retention time,ConditioningQC_neg_5.mzML Peak height,40TT5_neg_61.mzML Peak height,70TT1_neg_70.mzML Peak height,40TT_10M1_neq_18.mzML Peak height,ConditioningQC_neg_10.mzML Peak height,40TT_10M2_neq_16.mzML Peak height,ConditioningQC_neg_4.mzML Peak height,40TT3_neg_39.mzML Peak height,40TT1_neg_53.mzML Peak height,70TT6_neg_32.mzML Peak height,FreshJuice1_neq_24.mzML Peak height,70TT3_neq_14.mzML Peak height,ConditioningQC_neg_9.mzML Peak height,ConditioningQC_neg_3.mzML Peak height,40TT2_neq_22.mzML Peak height,HPP1_neg_33.mzML Peak height,FreshJuice3_neg_64.mzML Peak height,70TT4_neg_55.mzML Peak height,40TT_10M5_neg_40.mzML Peak height,40TT_10M4_neg_26.mzML Peak height,FreshJuice4_neg_38.mzML Peak height,FreshJuice6_neg_45.mzML Peak height,FreshJuice5_neg_73.mzML Peak height,40TT_10M6_neg_72.mzML Peak height,40TT4_neg_49.mzML Peak height,70TT7_neg_76.mzML Peak height,70TT5_neg_30.mzML Peak height,70TT2_neq_25.mzML Peak height,40TT6_neg_69.mzML Peak height,40TT_10M3_neg_46.mzML Peak height,FreshJuice_neq_17.mzML Peak height,SolventBlank4_neg_83.mzML Peak height,SolventBlank2_neg_2.mzML Peak height,FreshJuice2_neg_54.mzML Peak height,ProcessBlank2_neg_77.mzML Peak height,ProcessBlank1_neg_8.mzML Peak height,MEF_SS6_neg_75.mzML Peak height,SolventBlank1_neg_1.mzML Peak height,MEF_SS4_neg_68.mzML Peak height,MEF_SS5_neg_36.mzML Peak height,MEF_SS1_neg_56.mzML Peak height,MEF_SS2_neg_34.mzML Peak height,MEF_SS3_neg_52.mzML Peak height,MEF1_neg_41.mzML Peak height,MEF2_neg_60.mzML Peak height,QC11_neg_78.mzML Peak height,QC4_neg_28.mzML Peak height,QC10_neg_74.mzML Peak height,QC2_neg_13.mzML Peak height,MEF4_neg_29.mzML Peak height,MEF5_neg_50.mzML Peak height,MEF3_neg_44.mzML Peak height,QC9_neg_67.mzML Peak height,QC5_neg_35.mzML Peak height,QC6_neg_43.mzML Peak height,QC3_neq_20.mzML Peak height,QC7_neg_51.mzML Peak height,QC8_neg_59.mzML Peak height,HPP4_neq_21.mzML Peak height,US1_neq_23.mzML Peak height,QC12_neg_79.mzML Peak height,HPP6_neg_31.mzML Peak height,HPP5_neg_71.mzML Peak height,HPP2_neq_15.mzML Peak height,HPP3_neg_27.mzML Peak height,US2_neg_48.mzML Peak height,QC1_neg_12.mzML Peak height,US4_neg_65.mzML Peak height,US3_neg_47.mzML Peak height,UST6_neg_62.mzML Peak height,UST1_neg_37.mzML Peak height,UST2_neq_19.mzML Peak height,UST3_neg_57.mzML Peak height,US6_neg_66.mzML Peak height,US5_neg_42.mzML Peak height,UST5_neg_63.mzML Peak height,UST4_neg_58.mzML Peak height
1528,100.0402429,0.8975327,12960.333,12219.674,14698.048,12569.795,13002.752,12623.705,12651.151,12310.439,10453.251,10093.323,12023.159,11960.279,11962.9795,11230.269,13026.044,16526.88,13652.454,13600.727,11759.035,11409.089,13704.267,11589.513,13904.639,12582.365,11945.086,12456.034,13512.075,14235.409,11734.688,12289.652,13296.48,0,0,13125.755,0,0,11607.853,0,12910.261,9275.734,10724.819,9979.047,11184.081,10983.453,11319.18,13470.114,13730.859,12069.027,13325.6,11358.533,11670.782,13886.385,11914.959,11789.217,11772.166,11308.223,11150.521,11563.439,13258.536,9220.965,12009.428,11201.091,13716.359,13398.194,16690.006,9830.868,11507.536,11588.51,11859.217,14063.892,12078.936,9850.374,10960.633,10767.037,14527.405,13444.101,12354.296
625,100.9438869,0.33815444,4982.9707,0,0,0,5438.3306,0,5675.479,0,0,0,0,0,5158.2363,5414.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13279.143,0,14138.209,12208.402,16645.283,15065.035,13860.484,96104.22,43299.195,5929.2617,5456.804,4993.207,6165.4575,19994.375,21388.893,28309.137,6696.0415,7697.496,4621.732,3726.5447,3754.0027,6900.2744,0,0,5218.6255,1528.5698,0,0,0,0,7507.896,0,0,0,0,0,0,0,0,0,1172.3187
750,100.9511522,0.33739668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137.8032,0,1824.0637,1243.548,2239.8513,1658.4446,1810.3258,9542.277,6623.6597,1161.6754,1133.8029,0,0,2456.358,3240.3909,4307.813,0,0,0,0,1128.2784,0,0,0,0,0,0,0,0,0,1395.6993,0,0,0,0,0,0,0,0,0,0
162,101.0111573,0.29133537,1149.8489,0,0,0,0,0,112993.84,0,0,0,0,0,125820.5,103037.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171881.81,0,159828.44,175395.95,186621.6,164460.14,192840.67,199973.02,205698.7,0,0,123783.29,104361.58,136090.88,144861.62,199086.05,98459.32,165995.23,0,0,132268.25,93023.734,0,0,114761.82,0,0,0,0,0,112148.62,0,0,0,0,1443.7748,0,0,0,0,0
223,101.0182101,0.29379636,0,0,0,98890.53,0,0,8099.6147,0,0,0,0,0,8786.407,7656.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11365.35,0,10620.587,13363.306,12972.263,12889.162,14197.601,12934.181,13404.014,0,0,7434.771,8126.511,9188.344,10632.621,13447.572,7523.442,10348.842,0,0,10279.491,7615.893,0,0,7458.8496,0,0,0,0,0,9252.952,0,0,0,0,0,0,0,0,0,0
498,101.0222026,0.3207379,123496.47,115425.84,91239.96,0,123010.96,85662.65,118311.07,87698.37,117572.78,110411.61,88496.35,114490.62,112771.734,109275.24,99735.336,86278.945,96339.53,91928.414,86424.41,104715.125,0,98065.09,96784.64,110086.09,100951.57,95837.83,88549.9,98098.18,89414.914,106494.24,0,0,0,87831.695,0,0,123892.61,0,127898.52,127134.15,131427.33,130573.82,128510.58,108690.195,112216.84,120178.18,108522.36,109453.29,119287.766,132241.27,116037.1,117381.24,92050.38,101195.16,176979.61,119111.34,109563.06,114135.94,109516.766,120037.93,112950.984,110677.625,107396.89,114677.55,107935.72,100541.055,119697.086,92703.68,88344.805,89911.234,98425.38,106590.84,102329.336,96531.305,81132.69,99419.03,82394.96
1055,101.0237968,0.4781379,117850.37,115329.305,119028.52,121949.81,127050.73,122471.99,115868.99,122651.58,113535.305,112835.53,112586.83,128249.67,129728.78,120349.375,112527.29,120722.195,112846.81,116925.12,115492.55,119014.195,115320.03,111706.766,108390.48,123437.64,114384.47,115806.48,124891.86,117264.53,113368.59,113250.05,121282.92,7866.4966,0,105103.16,9723.17,3171.246,110571.22,1238.7979,112346.21,112881.74,103126.72,109426.49,115518.51,108788.445,109649.63,125090.984,118438.914,118015.52,125860.68,93996.28,111779.02,109532.6,113209.55,112213.75,116165.266,121476.016,115072.195,119587.28,114320.5,96670.516,112701.12,118004.7,121256.984,121721.32,119360.47,109872.266,129105.93,112420.26,115693.16,113612.4,108826.97,107984.38,112129.56,114152.66,114641.63,115687.78,114271.24
1302,101.0242278,0.7397535,60632.066,48460.27,47457.51,56667.5,58185.426,52685.285,54629.79,48410.76,50045.617,47809.477,47823.86,52924.582,54835.766,48663.547,47176.94,48609.656,45784.28,46400.656,46507.58,52810.176,46323.33,52220.953,48491.285,51572.36,45963.656,50932.68,49692.57,49005.523,47979.023,48120.11,54777.28,7722.032,1231.0051,48079.94,10227.695,3617.758,60858.004,1219.8003,65178.332,56414.4,51038.61,59192.01,55521.375,55291.062,52214.207,48817.516,54315.684,49424.523,54336.51,54911.977,58028.72,60722.082,53714.062,51669.56,51714.316,53202.445,49906.754,50009.324,49474.3,37542.406,49563.562,54347.57,47398.703,56519.777,50439.63,47506.68,55953.867,47095.297,47079.164,48520.156,45577.625,47537.77,46376.242,46664.07,46698.19,47185.48,46953.527
2021,101.02433,1.7270532,31236.28,27036.748,32065.594,31535.457,29091.75,31761.65,29415.65,33724.008,33511.086,33669.984,35503.664,31884.324,25519.25,22335.883,31809.598,33386.324,34624.37,32410.525,33061.082,29493.822,38362.21,31476.832,38006.043,32757.56,28563.295,28087.707,33316.78,31678.438,32065.145,31668.244,31541.543,8199.021,1158.0646,32803.64,10259.144,3983.1128,28699.953,1680.272,30664.988,26414.824,27029.42,31616.377,31213.129,28967.756,30285.166,37041.566,30532.41,30965.824,28847.574,32074.723,29457.797,28571.037,32671.3,36693.492,31483.275,32751.453,32154.48,34194.82,32173.738,19916.285,30819.74,32633.855,35902.094,33399.223,36449.324,29219.754,33545.957,33065.418,27897.967,34517.75,31823.424,26693.477,32963.83,30766.56,34117.85,34683.914,36127.125
5612,101.0243319,6.4785533,6390.049,8018.9014,9233.017,7619.7036,5742.657,7427.229,4918.778,7981.5757,8183.723,8379.375,7752.7686,6999.741,5457.8765,4141.4097,7166.3193,7804.3794,10085.726,8245.113,7332.6064,8675.085,8165.868,8197.749,9130.099,8956.496,8645.271,8924.759,8378.968,7957.3013,8402.468,8304.363,7850.305,6745.557,0,8857.256,7650.216,2594.3767,9133.136,0,8472.964,7749.179,8123.329,9088.515,7848.618,8213.079,9036.19,8015.042,8505.481,9340.93,7305.1445,9641.282,8650.109,8047.9277,9785.45,7679.4814,7384.3545,7203.5103,7441.642,7914.536,7757.921,6945.719,8598.078,8075.0146,9974.587,7292.637,7835.531,8637.111,6056.123,8728.3545,8760.195,10023.411,7445.891,6723.388,8066.166,9485.111,8339.511,8830.372,8169.9336
