row_ID,mz_rt,mz,rt,40TT_10M2_neq_16,FreshJuice1_neq_24,FreshJuice3_neg_64,40TT_10M5_neg_40,40TT_10M4_neg_26,FreshJuice4_neg_38,FreshJuice6_neg_45,FreshJuice5_neg_73,40TT_10M6_neg_72,40TT_10M3_neg_46,FreshJuice2_neg_54,MEF_SS6_neg_75,MEF_SS4_neg_68,MEF_SS1_neg_56,MEF_SS2_neg_34,MEF_SS3_neg_52,MEF1_neg_41,MEF2_neg_60,QC11_neg_78,QC4_neg_28,QC10_neg_74,QC2_neg_13,MEF4_neg_29,MEF5_neg_50,MEF3_neg_44,QC9_neg_67,QC5_neg_35,QC6_neg_43,QC3_neq_20,QC7_neg_51,QC8_neg_59,QC12_neg_79,QC1_neg_12
1528,100.0402_0.8975,100.0402429,0.8975327,12623.705,12023.159,13652.454,11759.035,11409.089,13704.267,11589.513,13904.639,12582.365,12289.652,13125.755,11607.853,12910.261,10724.819,9979.047,11184.081,10983.453,11319.18,13470.114,13730.859,12069.027,13325.6,11358.533,11670.782,13886.385,11914.959,11789.217,11772.166,11308.223,11150.521,11563.439,12009.428,11507.536
625,100.9439_0.3382,100.9438869,0.33815444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13279.143,14138.209,16645.283,15065.035,13860.484,96104.22,43299.195,5929.2617,5456.804,4993.207,6165.4575,19994.375,21388.893,28309.137,6696.0415,7697.496,4621.732,3726.5447,3754.0027,6900.2744,5218.6255,7507.896
498,101.0222_0.3207,101.0222026,0.3207379,85662.65,88496.35,96339.53,86424.41,104715.125,NA,98065.09,96784.64,110086.09,106494.24,87831.695,123892.61,127898.52,131427.33,130573.82,128510.58,108690.195,112216.84,120178.18,108522.36,109453.29,119287.766,132241.27,116037.1,117381.24,92050.38,101195.16,176979.61,119111.34,109563.06,114135.94,112950.984,119697.086
1055,101.0238_0.4781,101.0237968,0.4781379,122471.99,112586.83,112846.81,115492.55,119014.195,115320.03,111706.766,108390.48,123437.64,113250.05,105103.16,110571.22,112346.21,103126.72,109426.49,115518.51,108788.445,109649.63,125090.984,118438.914,118015.52,125860.68,93996.28,111779.02,109532.6,113209.55,112213.75,116165.266,121476.016,115072.195,119587.28,112701.12,129105.93
345,101.0294_0.3215,101.0293768,0.32149076,6636.2046,6805.0684,7138.783,5630.096,7456.335,NA,7787.5986,7504.919,7594.4927,8251.779,7000.599,7820.409,8948.365,10169.941,8826.812,8788.721,7488.666,7470.797,8608.343,7660.1943,7795.1113,9659.396,8747.026,8277.0625,8700.775,6111.624,6851.1665,11990.682,9253.639,7161.4243,8842.679,7004.206,8513.645
1117,101.031_0.4766,101.031013,0.47655594,9494.004,8547.527,8658.02,7888.324,9419.192,8136.0547,8229.951,7593.521,9404.909,9371.131,7438.8506,7016.1724,8172.0806,7615.631,7004.5293,8202.77,8824.8125,8653.748,8815.116,9282.368,8232.875,9580.286,7171.204,8758.964,8239.571,8677.373,8633.881,7984.4155,8154.922,8479.082,8855.811,8759.166,10068.69
1002,103.003_0.4435,103.0029624,0.44353124,4520.2207,5503.039,6064.336,5544.878,5130.7905,6654.931,6015.914,5728.873,5407.9385,5644.169,6453.0176,138355.11,144815.81,107201.47,125705.734,122633.57,98048.31,89971.48,32977.844,32079.13,29320.469,33241.78,105501.15,104372.734,96789.75,32866.582,32008.51,32741.691,33371.656,28690.746,29383.705,30704.479,34472.633
630,103.0384_0.3623,103.0383664,0.36230272,14905.289,16517.436,17539.24,14776.216,19719.168,17290.197,15973.127,16051.921,20082.85,22339.986,15374.25,20806.062,24911.232,22633.482,18837.61,21290.707,18258.979,22226.623,24226.303,18320.91,24648.373,16558.547,20838.006,23128.023,19543.637,21117.494,21270.816,20083.93,17749.943,20409.113,22707.951,20504.596,15782.131
854,103.0396_0.3544,103.0396303,0.3544425,19076.14,18924.652,18406.055,23682.225,21650.729,18125.309,17754.904,19278.055,23637.316,22790.52,17892.006,20806.062,20157.016,20884.375,18837.61,19296.285,15507.079,21071.3,20551.393,18320.91,20348.014,16573.674,19942.162,18339.557,17526.396,22405.793,21270.816,19928.35,18211.693,20409.113,20950.793,19353.479,16666.701
1236,103.0397_0.6197,103.0396803,0.6196753,11429.843,9967.183,12855.381,11482.442,10191.582,11750.683,11358.096,11249.017,11642.332,11921.094,11333.485,12049.568,13099.057,11545.583,11775.72,10901.172,12500.639,12230.078,11952.636,10849.867,11118.909,10974.913,11335.165,11061.373,12551.357,12121.475,13257.588,12597.817,10701.168,11311.07,10977.234,11846.985,10235.4375
