row_ID,mz_rt,mz,rt,FreshJuice5_pos_73,FreshJuice3_pos_64,40TT_10M4_pos_26,FreshJuice4_pos_38,FreshJuice6_pos_45,FreshJuice1_pos_24,40TT_10M3_pos_46,FreshJuice2_pos_54,40TT_10M2_pos_16,40TT_10M5_pos_40,40TT_10M6_pos_72,QC6_pos_43,MEF1_pos_41,QC9_pos_67,MEF_SS6_pos_75,MEF4_pos_29,MEF_SS4_pos_68,MEF_SS3_pos_52,MEF_SS1_pos_56,MEF_SS2_pos_34,MEF3_pos_44,MEF5_pos_50,QC8_pos_59,MEF2_pos_60,QC10_pos_74,QC7_pos_51,QC2_pos_13,QC3_pos_20,QC11_pos_78,QC5_pos_35,QC1_pos_12,QC4_pos_28,QC12_pos_79
906,100.0394_0.4966,100.0393706,0.4966192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12426.765,46824.566,13881.81,54912.113,52074.332,61980.793,62247.36,42746.41,61675.145,48735.613,46009.055,10166.569,48321.387,12866.921,14680.529,12250.746,13049.109,14373.564,16023.473,14941.828,12876.858,14667.275
246,100.0748_0.3036,100.074775,0.3035967,11359.0625,6991.8047,9396.625,7958.649,9622.346,7768.9517,7989.313,8141.8613,7937.9863,5563.5557,9136.893,16833.031,40835.254,14015.707,18580.879,34421.723,22730.098,23359.58,23413.078,20732.11,33073.8,32630.14,11754.033,37912.586,14368.647,16170.804,14694.995,17006.514,14448.783,12852.819,11572.707,13565.415,12310.267
2770,100.112_1.8034,100.1120403,1.8034459,9083.935,10544.096,7078.4395,9853.1875,9298.826,8173.136,7782.835,6760.7026,8567.628,8742.438,8224.797,7340.3945,8063.1323,9651.587,8685.794,8003.3447,7116.988,6889.786,8209.089,6245.571,7842.3916,7295.025,7449.3857,7204.4785,8746.157,11082.852,5962.5425,6547.161,9465.725,6677.8193,7141.102,8116.3,7610.5083
2472,100.1121_1.5856,100.1120696,1.5856134,NA,NA,NA,1311.4174,NA,NA,NA,NA,NA,NA,NA,3263.2046,28502.54,4294.461,9954.626,14098.615,7814.7607,4947.561,7750.971,10057.129,12948.969,10213.58,3190.422,15970.995,3739.938,1881.7329,3262.5845,3115.725,4620.2734,3708.6675,4035.9668,3055.272,3196.2104
2629,101.0232_1.6779,101.0232311,1.6779177,5578.2925,7092.7188,14991.171,5236.9634,4703.25,3129.431,19899.783,5957.557,15034.038,17859.37,23304.758,18441.256,19066.365,20762.291,24796.635,24177.24,23002.707,23005.969,21103.54,21043.809,16841.215,22322.043,16414.75,23917.123,21310.84,15499.256,15663.376,17671.97,19552.66,16252.766,15206.507,15434.733,23105.748
750,101.0233_0.4368,101.0233037,0.43681693,53138.734,61444.938,64184.207,49287.324,47034.375,51654.85,67361.87,52588.24,55115.53,69650.164,70638.445,67740.766,70811.016,64950.938,64185.598,54591.414,69001.31,66400.734,63936.355,52052.633,63623.926,71437.06,63700.383,62458.438,65621.12,64263.125,58869.746,52154.395,72269.34,56778.44,61270.773,55917.33,66360.18
2370,101.0233_1.5452,101.0233212,1.5452068,5868.525,5340.1455,10671.049,4020.1116,4744.825,4754.987,10135.326,4812.6807,11640.987,11810.327,11854.002,11047.274,10117.257,11046.855,9802.877,12982.827,9199.533,12276.891,10953.35,7201.5146,10884.248,11601.612,9846.636,11809.401,11558.225,8177.9414,8513.444,10144.344,10937.499,6859.6367,7883.231,7088.053,9319.558
1895,101.0234_0.8025,101.0233979,0.8024848,16965.258,14488.8,15152.896,17414.893,15508.938,16636.977,15092.408,17716.713,17292.701,18275.402,15896.517,21775.182,33784.09,21302.969,42294.043,31833.688,36686.74,38382.445,38684.855,41239.746,32161.664,29805.35,19990.06,35474.266,21235.318,19988.746,21132.256,19840.3,19510.695,25630.713,21740.244,21493.725,18772.857
1299,102.0372_0.693,102.0372014,0.69301814,8268.922,6488.5366,6782.827,6841.243,8841.724,6065.9688,7913.5127,6458.659,7718.88,9692.725,7169.871,7360.86,3606.7085,7564.9297,3309.9785,6872.5605,2830.4797,4651.473,3341.2236,3170.326,5320.636,4723.775,8661.116,3683.2136,8941.993,6023.371,6765.573,7168.5874,8312.605,7112.033,6137.8022,7263.2046,6704.915
1113,102.0549_0.5532,102.0549385,0.55324936,17074.695,14763,14759.756,13976.93,14457.92,14803.699,16925.945,16238.135,13873.585,16607.988,14806.631,12448.494,8996.838,14310.856,9088.692,9198.426,8962.324,8362.611,8260.883,8154.6113,8736.445,9240.599,12760.153,8021.5415,14208.162,14195.414,14467.055,13042.417,15546.986,12721.034,12858.472,14595.297,14931.629
